,Title,Title Type,IMDb Rating,Runtime (mins),Year,Genres,Num Votes,Release Date,Directors,Horror,Sci-Fi,Drama,Thriller,Comedy,Adventure,Action,Adult,Mystery,Crime,Romance,War,Fantasy,Animation,Musical,Family,Western,Title_Dead,Title_Zombie
213,Sheng hua te jing: Sang shi ren wu,movie,5.1,89.0,2000,"Comedy, Horror",151,2000-11-29,Wai-Man Cheng,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
175,Kairo,movie,6.5,119.0,2001,"Horror, Mystery, Sci-Fi, Thriller",22358,2001-02-03,Kiyoshi Kurosawa,True,True,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False
188,Stacy,movie,5.1,80.0,2001,"Comedy, Horror",1628,2001-08-18,Naoyuki Tomomatsu,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
154,Ghosts of Mars,movie,4.9,98.0,2001,"Action, Horror, Sci-Fi",55800,2001-08-24,John Carpenter,True,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False
207,Resident Evil,movie,6.6,100.0,2002,"Action, Horror, Sci-Fi",275925,2002-03-12,Paul W.S. Anderson,True,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False
132,28 Days Later...,movie,7.5,113.0,2002,"Drama, Horror, Sci-Fi, Thriller",421139,2002-11-01,Danny Boyle,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
71,Undead,movie,5.4,104.0,2003,"Action, Comedy, Fantasy, Horror, Sci-Fi",14455,2003-02-27,"Michael Spierig, Peter Spierig",True,True,False,False,True,False,True,False,False,False,False,False,True,False,False,False,False,False,False
59,Dawn of the Dead,movie,7.3,101.0,2004,"Action, Horror",259979,2004-03-10,Zack Snyder,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False
102,Dead & Breakfast,movie,5.7,88.0,2004,"Comedy, Fantasy, Horror, Musical",6010,2004-03-16,Matthew Leutwyler,True,False,False,False,True,False,False,False,False,False,False,False,True,False,True,False,False,True,False
18,Shaun of the Dead,movie,7.9,99.0,2004,"Comedy, Horror",565799,2004-03-29,Edgar Wright,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False
252,Resident Evil: Apocalypse,movie,6.1,94.0,2004,"Action, Horror, Sci-Fi, Thriller",202879,2004-08-23,Alexander Witt,True,True,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False
152,A Dirty Shame,movie,5.1,89.0,2004,Comedy,13141,2004-09-12,John Waters,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
24,Zombie Honeymoon,movie,4.5,83.0,2004,"Drama, Horror, Romance",2489,2004-10-23,David Gebroe,True,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True
221,Dead Meat,movie,4.7,80.0,2004,"Action, Comedy, Horror, Sci-Fi",2306,2004-10-31,Conor McMahon,True,True,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,True,False
227,Die Nacht der lebenden Loser,movie,5.6,89.0,2004,"Comedy, Horror",2871,2004-11-04,Matthias Dinter,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
32,Khun krabii hiiroh,movie,5.8,95.0,2004,"Action, Comedy, Fantasy, Horror",892,2004-12-16,Taweewat Wantha,True,False,False,False,True,False,True,False,False,False,False,False,True,False,False,False,False,False,False
36,Dead Meat,movie,3.9,87.0,2005,"Comedy, Horror",916,2005-02-01,Philip Cruz,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False
34,The Roost,movie,4.8,80.0,2005,"Horror, Thriller",2150,2005-03-12,Ti West,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
118,Land of the Dead,movie,6.2,93.0,2005,"Horror, Sci-Fi, Thriller",98143,2005-06-18,George A. Romero,True,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
103,Boy Eats Girl,movie,4.9,80.0,2005,"Comedy, Fantasy, Horror",3951,2005-07-03,Stephen Bradley,True,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False
39,Mortuary,movie,4.1,94.0,2005,"Horror, Mystery, Thriller",6019,2005-08-03,Tobe Hooper,True,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False
235,Corpse Bride,movie,7.3,77.0,2005,"Animation, Drama, Family, Fantasy, Musical, Romance",280841,2005-09-07,"Tim Burton, Mike Johnson",False,False,True,False,False,False,False,False,False,False,True,False,True,True,True,True,False,False,False
