Position,Const,Created,Modified,Description,Title,URL,Title Type,IMDb Rating,Runtime (mins),Year,Genres,Num Votes,Release Date,Directors
84,tt0096071,2014-02-19,2014-02-19,,The Serpent and the Rainbow,https://www.imdb.com/title/tt0096071/,movie,6.4,98,1988,"Fantasy, Horror",26406,1988-02-05,Wes Craven
85,tt0036027,2014-02-19,2014-02-19,,I Walked with a Zombie,https://www.imdb.com/title/tt0036027/,movie,7.0,69,1943,"Drama, Fantasy, Horror, Romance",12861,1943-04-08,Jacques Tourneur
86,tt0023694,2014-02-19,2014-02-19,,White Zombie,https://www.imdb.com/title/tt0023694/,movie,6.2,69,1932,Horror,10982,1932-07-28,Victor Halperin
87,tt0028174,2014-02-19,2014-02-19,,Revolt of the Zombies,https://www.imdb.com/title/tt0028174/,movie,3.4,65,1936,"Adventure, Horror",1779,1936-06-04,Victor Halperin
88,tt0033787,2014-02-19,2014-02-19,,King of the Zombies,https://www.imdb.com/title/tt0033787/,movie,5.2,67,1941,"Adventure, Comedy, Horror",2340,1941-05-14,Jean Yarbrough
89,tt0072225,2014-02-19,2014-02-19,,Sugar Hill,https://www.imdb.com/title/tt0072225/,movie,5.8,91,1974,"Action, Crime, Horror",2156,1974-02-06,Paul Maslansky
90,tt0098627,2014-02-19,2014-02-19,,Weekend at Bernie's,https://www.imdb.com/title/tt0098627/,movie,6.4,97,1989,"Adventure, Comedy, Crime",58825,1989-02-09,Ted Kotcheff
91,tt0060841,2014-02-19,2014-02-19,,The Plague of the Zombies,https://www.imdb.com/title/tt0060841/,movie,6.6,90,1966,Horror,5214,1966-01-09,John Gilling
92,tt1298650,2014-02-19,2014-02-19,,Pirates of the Caribbean: On Stranger Tides,https://www.imdb.com/title/tt1298650/,movie,6.6,137,2011,"Action, Adventure, Fantasy",535969,2011-05-07,Rob Marshall
93,tt0166792,2014-02-19,2014-02-19,,Scooby-Doo on Zombie Island,https://www.imdb.com/title/tt0166792/,video,7.7,77,1998,"Animation, Adventure, Comedy, Family, Fantasy, Mystery",16049,1998-09-22,Jim Stenstrum
94,tt1278340,2014-02-19,2014-02-19,,Død snø,https://www.imdb.com/title/tt1278340/,movie,6.3,92,2009,"Comedy, Fantasy, Horror",68202,2009-01-09,Tommy Wirkola
95,tt2798680,2014-02-19,2014-02-19,,Knight of the Dead,https://www.imdb.com/title/tt2798680/,movie,2.7,82,2013,"Action, Fantasy, Horror",634,2013-07-01,Mark Atkins
96,tt0275773,2014-02-19,2014-02-19,,Versus,https://www.imdb.com/title/tt0275773/,movie,6.3,119,2000,"Action, Drama, Fantasy, Horror, Thriller",13357,2000-10-29,Ryûhei Kitamura
97,tt0082307,2014-02-19,2014-02-19,,...E tu vivrai nel terrore! L'aldilà,https://www.imdb.com/title/tt0082307/,movie,6.6,87,1981,Horror,23690,1981-04-29,Lucio Fulci
98,tt0225481,2014-02-19,2014-02-19,,The Dead Hate the Living!,https://www.imdb.com/title/tt0225481/,video,4.3,90,2000,"Horror, Comedy",1974,2000-02-08,Dave Parker
99,tt0106792,2014-02-19,2014-02-19,,Ed and His Dead Mother,https://www.imdb.com/title/tt0106792/,movie,6.0,93,1993,"Comedy, Horror",2238,1993-11-17,Jonathan Wacks
100,tt0086636,2014-02-19,2014-02-19,,Zeder,https://www.imdb.com/title/tt0086636/,movie,6.2,98,1983,"Horror, Mystery",2318,1983-06-30,Pupi Avati
101,tt0093777,2014-02-19,2014-02-19,,Prince of Darkness,https://www.imdb.com/title/tt0093777/,movie,6.7,102,1987,Horror,46123,1987-10-21,John Carpenter
102,tt0218088,2014-02-19,2014-02-19,,Cementerio del terror,https://www.imdb.com/title/tt0218088/,movie,5.4,91,1985,"Horror, Thriller",1145,1985-07-12,Rubén Galindo Jr.
103,tt0350774,2014-02-19,2014-02-19,,Dead & Breakfast,https://www.imdb.com/title/tt0350774/,movie,5.7,88,2004,"Comedy, Fantasy, Horror, Musical",6010,2004-03-16,Matthew Leutwyler
104,tt0415679,2014-02-19,2014-02-19,,Boy Eats Girl,https://www.imdb.com/title/tt0415679/,movie,4.9,80,2005,"Comedy, Fantasy, Horror",3951,2005-07-03,Stephen Bradley
105,tt0795505,2014-02-19,2014-02-19,,Undead or Alive: A Zombedy,https://www.imdb.com/title/tt0795505/,movie,5.1,91,2007,"Comedy, Horror, Western",2113,2007-03-10,Glasgow Phillips
106,tt0089254,2014-02-19,2014-02-19,,Hard Rock Zombies,https://www.imdb.com/title/tt0089254/,movie,4.4,98,1985,"Comedy, Horror, Music",1611,1985-08-28,Krishna Shah
107,tt1185390,2014-02-19,2014-02-19,,Saikyô heiki joshikôsei: Rika - zonbi hantâ vs saikyô zonbi Gurorian,https://www.imdb.com/title/tt1185390/,movie,5.2,86,2008,"Action, Horror",458,2008-02-18,Ken'ichi Fujiwara
108,tt0462485,2014-02-19,2014-02-19,,Poultrygeist: Night of the Chicken Dead,https://www.imdb.com/title/tt0462485/,movie,6.0,103,2006,"Comedy, Horror, Musical, Sci-Fi",8744,2006-12-29,Lloyd Kaufman
109,tt1781812,2014-02-19,2014-02-19,,Exit Humanity,https://www.imdb.com/title/tt1781812/,movie,5.3,114,2011,"Drama, Horror",4605,2011-09-18,John Geddes
110,tt0080057,2014-02-19,2014-02-19,,Zombi 2,https://www.imdb.com/title/tt0080057/,movie,6.8,91,1979,Horror,28853,1979-08-25,Lucio Fulci
111,tt0081248,2014-02-19,2014-02-19,,Le notti del terrore,https://www.imdb.com/title/tt0081248/,movie,5.6,85,1981,Horror,5857,1981-01-23,Andrea Bianchi
112,tt0465517,2014-02-19,2014-02-19,,Last Rites of the Dead,https://www.imdb.com/title/tt0465517/,movie,4.7,118,2006,"Comedy, Horror",717,2006-10-22,Marc Fratto
